znacka	stare	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
DAIHATSU	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	1	4	12	22	44	42	45	89	136	189	206	237	122	180	350	308	376	368	241	156	97	97	61	72	71	71	74	23	13	11	2	0	1
DODGE	12	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	3	7	13	11	19	18	11	35	52	48	41	53	107	72	55	56	52	70	68	54	73	82	150	279	225	126	73	44	32	21	29
FIAT	124	0	0	0	0	1	1	2	1	3	4	10	14	172	92	179	349	143	252	219	392	403	561	465	715	1432	1345	2059	1714	1690	1447	1601	1018	1651	1123	453	456	373	717	327	713	1647	2667	3277	2855	2560	2102	2277	1846	1346	2516	5705	13019	15758	14736	15226	12316	8167	7315	7282	5888	4791	4818	4722	4876	4588	3803	2315	2283	1430	705
FORD	114	3	4	3	2	1	1	2	3	1	5	4	1	63	59	13	12	30	43	81	383	295	293	67	168	282	94	88	104	64	152	126	86	176	284	342	357	414	408	477	866	1901	2142	2151	2037	2541	3287	4265	3706	3628	4564	8554	15604	24118	24407	27512	19630	18269	19389	19684	20163	19698	17943	21730	23169	20332	14196	11963	8054	5504	4298
GM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	4	16	35	15	916	1832	165	3	2	4	0	1	0	0	0	0
HONDA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	3	1	2	1	3	2	3	13	19	50	55	30	19	50	137	232	251	333	356	386	525	814	726	904	1175	1852	2879	2738	2434	1644	1190	1645	1840	2011	2001	2644	3008	3013	2692	1970	1578	1697	1846	1029
HYUNDAI	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	10	9	33	43	49	140	802	669	717	1071	2136	2269	2663	2222	2247	1820	3543	5648	5555	7050	6532	6908	7553	8417	9969	11807	14845	15361	9986
JAGUAR	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	1	2	4	2	0	1	1	2	1	2	2	1	1	0	1	6	18	21	17	24	36	14	24	17	18	26	65	47	64	68	96	132	176	179	149	159	114	125	179	217	142	109	118	115	89	68
JEEP	262	9	1	0	1	2	0	1	1	0	0	0	4	2	3	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	1	0	0	0	5	15	33	60	72	108	118	83	109	198	217	274	333	373	321	516	495	392	625	585	346	370	385	421	314	223	202	259	430	424	223
KIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	62	154	380	841	1047	751	950	1232	809	1126	1991	1952	2855	3184	4973	5757	7347	7852	7806	7017	5791	3511
LADA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	2	0	6	7	17	12	3	5	12	14	186	183	151	111	154	167	177	150	108	115	97	43
LANCIA	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	1	2	1	2	5	1	4	5	12	15	15	19	42	147	176	242	220	127	152	154	95	80	125	262	444	527	491	385	708	442	273	296	197	102	88	42	70	116	68	91	125	111	55
LAND	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	4	14	0	2	0	1	1	1	1	3	2	0	0	1	2	1	5	3	7	13	10	25	28	31	79	80	115	182	208	633	1182	882	548	553	493	365	324	287	372	294	233	376	542	783	840	468
LEXUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	52	51	51	60	70	81	57	89	250	292	276	264	235	184	191	160	67
MAZDA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	5	6	50	61	99	73	58	143	329	505	505	534	550	769	1046	1744	1343	1570	1919	2720	3420	2966	3055	2678	1661	2048	3493	3637	2629	2506	2290	3190	2383	1987	1131	1203	1695	1203
MERCEDES	218	0	1	1	2	2	9	5	4	4	13	6	13	16	12	12	14	26	24	31	40	40	34	35	59	102	130	173	201	193	196	187	332	489	381	338	217	149	118	115	262	733	771	794	788	718	823	980	958	865	902	889	1403	2035	3366	3725	3684	3423	3510	3777	2980	2911	3164	3640	3512	3457	3290	3189	3353	3159	2112
