znacka	stare	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
ARO	2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	2	1	165	150	178	185	205	1	1	67	94	260	226	280	399	241	133	14	0	4	5	3	0	0	0	1	4	0	1	0
AERO	314	3	12	48	120	55	45	5	1	1	3	1	2	0	1	1	0	2	1	1	0	0	2	0	1	1	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALFA	8444	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	3	4	2	6	3	8	2	7	6	11	5	12	5	12	13	18	25	33	47	63	149	360	296	422	637	658	628	515	534	443	233	329	250	320	576	484	458	361	292	208
AUDI	37194	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	5	3	4	11	17	20	17	30	41	46	106	274	409	957	690	486	249	265	455	1314	1542	2264	2205	1822	1763	1935	1727	1262	1137	1722	1743	1865	1871	1923	1818	1506	1564	2121
BMW	29846	0	0	1	0	0	1	1	6	1	0	2	2	2	5	1	3	19	19	18	22	23	15	16	24	28	29	24	37	31	28	99	183	366	472	527	431	297	212	166	483	1809	1771	1621	1643	1511	1508	1622	1860	1266	1303	1206	1305	1285	1013	1196	1197	1057	882	1197
BARKAS	2257	0	0	0	0	0	0	0	0	0	0	0	3	13	28	57	67	59	2	74	128	159	220	153	215	217	30	12	42	304	208	177	16	14	10	6	7	2	3	4	2	5	3	5	2	4	3	1	2	0	0	0	0	0	0	0	0	0	0	0
CHEVROLET	1127	0	0	3	1	0	0	0	4	0	3	0	4	0	0	1	4	2	0	2	4	7	1	2	3	2	1	0	0	1	3	0	2	3	5	6	2	1	3	5	10	42	59	81	85	100	148	130	99	51	57	59	23	29	25	21	9	11	6	7
CHRYSLER	5006	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	10	113	180	196	64	60	4	11	12	7	3	0	1	4	4	10	17	79	136	129	92	143	267	296	531	493	497	352	303	251	287	253	194
CITROËN	72930	1	2	4	1	1	1	1	3	0	0	1	0	1	3	3	5	3	7	5	10	8	6	9	8	6	13	48	32	20	14	16	29	41	41	80	79	136	125	166	605	1582	2129	2354	2177	2803	3929	4837	5242	4913	3712	4977	4644	4944	4077	3917	3683	2775	3797	4904
DACIA	10612	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	7	840	31	798	915	521	572	552	671	640	289	7	734	896	487	816	348	399	815	3	0	0	0	0	1	3	1	0	2	22	27	121	89
DAEWOO	30688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1905	14	5	2	414	1322	1433	5384	2916	4879	5059	3578	1112	1741	919
DAIHATSU	3437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	8	13	12	17	44	128	140	162	192	259	325	428	334	333	122	178	366	122	97	73	40	17	14	8
DODGE	1242	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	5	18	29	28	56	44	35	85	122	98	86	112	213	107	66	43	31	36	13	3
FIAT	172326	1	0	0	0	1	1	2	2	3	4	12	18	215	122	235	437	203	328	278	511	526	717	640	947	1961	1953	2888	2955	2914	2307	2659	1746	3270	2081	988	1036	899	2202	1027	2695	6144	10025	13377	11895	11024	9056	8889	6377	3469	3132	5726	10762	8965	5916	6764	3711	2386	2595	3329
FORD	218907	4	4	2	3	1	1	2	1	1	4	4	2	71	69	14	14	34	46	84	441	325	338	81	212	358	119	126	147	83	224	201	180	457	642	826	891	1201	1293	1546	3257	7166	8558	8730	7832	10015	13572	17024	12780	9264	9946	15480	16853	18937	14697	10983	6334	5216	5506	6705
HONDA	26797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	5	1	3	2	8	5	8	25	46	94	121	77	48	147	450	738	819	1092	961	1024	1128	1427	1321	1497	1741	2075	2883	2175	1891	1195	809	1416	1553
HYUNDAI	30228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	27	42	108	145	207	659	3230	2449	2114	2374	3115	2557	2185	1303	1325	874	2660	4848
JAGUAR	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	4	22	23	20	30	29	20	13	10	16	23	42	36	49	47	46	84	137	74	78
JEEP	2871	7	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	4	27	65	98	124	148	138	85	115	249	215	247	246	216	122	179	149	73	171	181
KIA	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	174	322	736	1155	1240	598	724	942	251	551	1303
LEXUS	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	55	42	33	49	48	69
LANCIA	6014	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	2	0	0	1	1	0	0	1	3	2	0	5	1	4	8	23	24	30	39	84	439	585	782	752	519	609	566	320	172	187	262	226	180	77	39	33	14	6	13
LAND	1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	13	1	3	0	0	0	1	0	4	1	0	0	0	1	2	7	3	2	6	11	27	20	15	50	45	39	74	63	93	169	119	105	215	180
GM	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	5	8	3	3	2	1	1
MAZDA	47246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	2	16	12	91	149	260	191	162	431	1138	1915	2108	2146	2083	2726	3059	4376	3012	2907	2929	3298	3375	2276	2244	1879	899	1249	2309
MERCEDES	33489	0	1	1	4	3	10	10	3	5	13	8	14	17	10	14	15	29	43	47	51	43	49	47	108	173	222	331	387	363	396	375	811	1148	951	817	492	325	217	181	562	1595	1697	1516	1380	1110	1068	1219	1094	848	843	731	1117	1269	1437	1366	1580	1632	1731	1960
MITSUBISHI	25558	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	45	152	172	92	98	320	832	1411	1769	2080	2198	1872	1883	1617	1494	1091	1273	1023	1418	1161	981	564	447	751	796
MOSKVIČ	15576	0	0	0	1	0	1	2	0	0	2	0	0	8	5	145	165	156	237	256	307	62	38	274	496	607	715	908	966	859	1054	908	640	1302	1668	1662	591	6	1	3	0	2	1	4	4	310	1174	21	10	0	1	1	1	0	1	1	0	0	0	0
