znacka	stare	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
NISSAN	44519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	2	0	4	2	15	45	74	127	136	300	1042	1659	2161	1856	1690	2211	3730	3417	2112	1726	2391	2502	3367	2323	2888	2430	1674	2477	2152
OLTCIT	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OPEL	187850	1	0	1	0	2	6	5	5	3	5	11	14	15	20	21	27	42	45	97	157	107	77	55	52	46	55	54	77	80	52	82	117	263	400	632	734	707	636	501	848	4409	6392	7836	7670	7420	10242	10951	11072	7935	9110	15090	17649	14020	9307	12946	10100	7394	5469	6786
PEUGEOT	166791	0	0	0	0	1	1	0	0	0	0	1	0	0	3	1	2	4	3	8	5	6	6	8	9	15	14	20	28	21	20	27	22	27	71	117	181	222	140	209	923	5437	8838	8594	8702	7875	11666	13499	11232	8943	7345	7857	7500	8078	6872	7933	8839	8072	8388	9006
PORSCHE	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	2	0	3	5	1	0	0	16	20	31	10	10	8	8	7	21	70	47	37	19	22	17	19	16	10	8	18	17	23	27	29	39	36	44	42
RENAULT	183994	0	0	0	0	1	0	0	3	0	1	55	92	126	87	80	150	111	38	171	293	182	142	179	300	260	255	428	132	161	229	540	295	510	279	283	572	785	784	1246	1590	3487	5420	5845	4993	8617	10369	15215	12653	8812	8886	11545	13662	11616	9546	9492	7954	7591	9269	8662
ROVER	2769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	3	3	0	2	1	1	1	9	11	19	19	26	28	82	78	131	113	257	502	576	445	284	97	40	18	18
SAAB	2972	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	5	9	19	18	58	112	101	64	56	6	62	53	9	9	13	11	21	19	12	9	26	83	160	209	154	149	97	109	87	67	89	168	132	153	148	96	113	86	82	94
SEAT	57692	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	3	2	1	0	0	0	0	7	54	331	445	913	871	771	1419	2403	3482	3548	4919	7202	6352	6491	2835	4130	3394	2429	2658	3023
SIMCA	3436	0	0	0	0	1	0	0	0	1	2	2	2	84	92	34	54	41	65	90	26	113	187	306	321	412	130	83	129	204	151	74	158	216	202	119	57	28	18	15	5	3	1	2	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0
SSANGYONG	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	8	5	88	242	90	29	6	2	0	1
SUBARU	7203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	15	35	24	132	258	505	795	549	466	445	356	279	243	258	320	403	366	289	329	273	170	353	328
SUZUKI	19109	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	7	36	39	22	78	229	272	464	469	657	952	931	1283	964	690	967	847	881	1419	1577	1754	1187	1642	1738
TATRA	4103	6	113	92	68	71	59	46	51	0	4	1	3	42	41	59	101	110	97	31	43	76	58	76	117	170	141	148	166	163	162	102	174	174	102	72	99	76	50	30	47	42	100	100	116	106	63	94	73	56	29	28	30	19	3	2	0	0	0	1
TOYOTA	41917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	77	4	3	4	4	8	14	15	27	58	117	142	117	89	196	674	1130	1374	1557	1421	2001	2494	1554	1376	1803	1981	2594	2801	2508	3215	3137	2194	3203	4024
TRABANT	46462	0	0	0	0	0	0	0	0	0	0	0	2	13	1	0	13	8	3	63	235	694	1691	1712	1827	1648	1808	4394	4310	3941	2569	2676	3083	989	2760	3910	3627	3104	989	64	239	15	19	13	10	7	5	2	0	0	2	5	1	2	3	3	1	1	0	0
VOLKSWAGEN	158964	5	3	2	0	3	6	6	16	11	20	32	34	35	43	59	105	115	165	186	231	181	139	116	109	225	131	129	115	135	221	373	742	1822	2434	3182	2164	1976	1214	714	1719	5424	5845	5232	4339	4794	5056	5572	6881	6097	7543	11791	12150	9858	9874	8689	9448	8899	7260	5294
VAZ	115696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	9	1	0	13	2201	3654	6954	9309	9883	8699	9460	9970	7954	6042	2393	1164	1433	3868	3552	6816	2583	4656	5048	4353	187	344	616	336	678	1391	398	351	503	258	228	294	91
VOLHA	5274	0	0	0	0	0	0	0	1	0	0	1	1	0	97	97	83	79	86	106	110	221	125	166	233	103	122	247	258	292	261	267	335	382	266	350	335	75	57	55	7	4	86	71	107	109	77	0	1	0	0	0	1	0	0	0	0	0	0	0
VOLVO	10128	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	2	3	3	2	2	6	8	5	7	9	13	22	36	47	70	116	101	94	97	96	102	425	429	330	275	247	296	246	232	235	274	325	531	480	579	679	857	841	836	1164
VOZIDLO	4752	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	1	2	1	1	2	3	9	9	11	24	27	26	40	36	67	86	103	112	213	272	267	402	430	418	627	970	66	71	80	79	73	90	61	33	29	3	0	0	0	0	0	0	0	2
Wartburg	30613	0	0	0	2	1	1	0	1	0	2	3	110	304	338	259	339	278	321	332	252	93	617	489	1104	716	1049	1065	1843	1794	2117	2131	2836	505	2686	4168	1893	234	413	574	582	834	15	16	35	167	75	5	1	1	0	2	1	2	4	2	0	1	0	0
ZASTAVA	2818	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	3	7	3	3	2	9	5	9	403	413	403	505	450	7	6	3	3	0	7	2	7	4	9	13	87	339	42	11	5	2	4	41	2	2	0	0	0	0
ŠKODA	1780124	2	28	96	267	137	162	144	87	74	75	256	755	1252	1616	1508	3078	2314	2981	1910	2816	3559	5466	7018	9941	11335	11776	13509	12904	10081	17811	19520	17533	28531	29472	36262	35674	30673	26208	45737	56549	64105	65002	61252	63948	78535	95085	33438	66940	71304	48286	72610	83487	100703	73578	67824	73703	70349	69432	71426
ŽUK	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	78	30	60	85	95	116	122	118	117	163	137	168	145	88	4	4	1	1	1	0	2	1	3	0	1	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VŠE	3675086	30	167	252	467	281	296	225	185	102	138	395	1060	2200	2586	2595	4671	3631	4575	3803	5722	6497	10036	11521	16238	18575	18956	26941	29421	28896	38879	41834	39062	51243	56555	64495	57488	45338	37307	55981	78178	115243	135338	134771	135771	157079	184735	133994	161167	144065	122056	175379	204251	213366	164007	160410	151445	131277	137083	146827
